"","Prevalence.Estimate.Name","Serotracker_record_used_for_sampling_method","Serotracker_sampling_method","Dataset_Serotracker","Dataset_Chen","Dataset_both","Excluded_data","Excluded_screening","Excluded","exclusion_reason","Notes_exclusion","Author","url1","Population","source_population","date_start","date_end","Overall.Risk.of.Bias..JBI.","Country.or.Area","Geo","Specific.Geography","Location","Country","Region","IR_lower","IR_upper","deaths14_lower","deaths14_upper","death_data_quality","source_deathsdata","aged_65_older","source_aged65data","GDPppp","source_GDPdata","oecd_region","OECD_GDP","OECD_GDP_source"
"12","{selvaraju2021population}","210120_Chennai_NationalInstituteOfEpidemiology_primary_adj","Stratified probability",1,0,0,0,0,0,"","","Selvaraju et al.","https://dx.doi.org/10.3201/eid2702.203938",10900000,"https://www.populationu.com/cities/chennai-population","2020-07-01","2020-07-31","Low","India","South Asia","India","Chennai, Tamil Nadu, India","India","Tamil Nadu",14.8,22.6,1295,5960,0,"Mortality data for the number of deaths for Chennai obtained from the Greater Chennai Corporation (see http://covid19.chennaicorporation.gov.in/; specifically, numbers published for July 15, 2020 and August 14, 2020 were listed at: https://twitter.com/chennaicorp/status/1283280173132128259 and https://twitter.com/chennaicorp/status/1294140456868052993).  We multiplied the number recorded for 14 days after the end of the sampling window of 2384 by a factor of 2.5 (based the upper bound of \citet{mukherjee2021estimating}'s estimated underreporting factor for Tamil Nadu) in order to account for potential underreporting.",7,"https://statisticstimes.com/demographics/india/tamil-nadu-population.php",7191,"GDP value is from value listed for India from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).  ",1,7191,1
"13","{khalagi2021prevalence} ","210314_Iran_TehranUniversityofMedicalSciences_overall_adj","Stratified probability",1,0,0,0,0,0,"","","Khalagi et al.","10.1101/2021.03.12.21253442v2",82913906,"Population value from https://data.worldbank.org/indicator/SP.POP.TOTL?locations=IR.","2020-08-03","2020-10-31","Low","Iran (Islamic Republic of)","Middle East","Iran (Islamic Republic of)","Iran","Iran","Iran",13.3,15.2,47332,98071,0,"For \citet{khalagi2021prevalence}, \citet{kobak2021excess} suggest that official mortality data for Iran is highly inaccurate and suggest that there have been approx. 58,092 excess deaths in Iran for the period until Sept. 21, 2020.  This coincides with the estimate provided by {ghafari2020excess} of 58,900 (95\% CI 46,900 - 69,500) for the period from December 22, 2019 to September 21, 2020.  Excess mortality data is only available in quarterly format from \citet{kobak2021excess}.  Therefore it is not possible to obtain mortality data for the specific dates we require: 2020-08-17 and 2020-11-14.  Official statistics for these dates are 19,804 and 41,034 (see \url{https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Iran}; accessed on June 28, 2021, which cites the Iranian Ministry of Health and Medical Education).  Multiplying these numbers by \citet{kobak2021excess}'s estimated undercount ratio of 2.4 gives: 47332 and 98071.  (see \url{https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7852240/pdf/nihpp-2021.01.27.21250604v3.pdf}; accessed on June 28, 2021).",6,"Data for the population and the proportion of the population aged over 65 is from the World Bank World Development Indicators  (WDI) data (\url{https://data.worldbank.org/indicator/SP.POP.65UP.TO.ZS?locations=IR};  accessed on June 28, 2021).",12937,"GDP value is from value listed for Iran, Islamic Rep. from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)). ",0,12937,0
"14","{israel} ","201008_Israel_MinistryOfHealth_overall_adj","Stratified probability",1,0,0,0,0,0,"","","MoHoI","https://www.gov.il/BlobFolder/reports/de-covid19-28062020-17092020/he/files_publications_corona_DE-covid19.pdf",9216900,"https://data.worldbank.org/indicator/SP.POP.TOTL?locations=IL","2020-06-28","2020-09-17","Low","Israel","Middle East","Israel","Israel","Israel","Israel",5.3,5.6,382,1659,1,"Mortality data is from Wikipedia (see: https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Israel; accessed on August6, 2021)  which references: Israel's Ministry of Health official coronavirus updates Telegram channel, and Israel's Corona National Information and Knowledge Center.",11,"https://brookdale.jdc.org.il/wp-content/uploads/2018/02/MJB-Facts_and_Figures_Elderly-65_in_Israel-2018_English.pdf",40747,"GDP value is from value listed for Israel from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)). ",1,40747,1
"15","{melotti2021prevalence}","210320_GardenaValley_HospitalOfBolzano_PopAdj","Stratified probability",1,0,0,0,0,0,"","","Melotti et al.","10.1101/2021.03.19.21253883",10700,"the report ""Study on the prevalence of Covid-19 in the Val Gardena - June 2020"" (https://astat.provincia.bz.it/it/news-pubblicazioni-info.asp?news_action=300&news_image_id=1074603)","2020-05-26","2020-06-08","Low","Italy","Europe","Italy","Gardena Valley, Italy","Italy","Province of Bolzano-Bozen",25.2,28.6,17,17,0,"In the report ""Study on the prevalence of Covid-19 in the Val Gardena - June 2020"" (https://astat.provincia.bz.it/it/news-pubblicazioni-info.asp?news_action=300&news_image_id=1074603), it is noted that ""the number of deaths from this disease in 17 people..."".   Stefano Lombardo (stefano.lombardo@provincia.bz.it)  notes that the source of this number is Astat, Bolzano (""statistics on deaths by cause"").",20,"The study looks specifically at three municipalities (Ortisei, Santa Cristina, and Selva) and we have found age data on these from: https://www.citypopulation.de/en/italy/trentinoaltoadige/bolzano/021089__selva_di_val_gardena/  and and http://italia.indettaglio.it/eng/trentinoaltoadige/ortisei.html.",71853,"GDP value is from value listed for Italy from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,71853,1
"16","{pagani2021prevalence}","210224_Castiglioned'Adda_UniversityofMilan_Overall ","Entire sample",1,0,0,0,0,0,"","","Pagani et al.","https://dx.doi.org/10.1371/journal.pone.0246513",4605,"The paper states: ""Castiglione d’Adda (CdA) is a town of 4605 inhabitants (according to data from the local registry office at the time of our study)..."".","2020-05-18","2020-06-07","Low","Italy","Europe","Italy; Lombardy; Castiglione D‚ÄôAdda","Castiglione d’Adda, Italy","Italy","Lombardy",17.2,29.1,47,47,0,"The paper does not cite a specific source for deaths but notes: ""From the 1st of January to the 31st of March 2020, 76 deaths (1.65% of the population) have been recorded in CdA, of which 47 were officially attributed to COVID-19.""  Harlan has emailed gabriele.pagani@unimi.it for more details.",26,"https://www.citypopulation.de/en/italy/localities/lombardia/lodi/09801410001__castiglione_dadda/",59291,"GDP value is from value listed for Italy from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,59291,1
"17","{yoshiyama2021prevalence}","210120_Japan_ResearchInstituteOfTuberculosis_GenPop","Stratified probability",1,0,0,0,0,0,"","","Yoshiyama et al.","https://dx.doi.org/10.3201/eid2702.204088",13960236,"https://www.metro.tokyo.lg.jp/tosei/hodohappyo/press/2021/01/28/01.html","2020-06-01","2020-06-07","Low","Japan","East Asia","Japan","Tokyo, Japan","Japan","Kanto",0.01,0.37,314,320,1,"\citet{kobak2021excess} do not suggest that official Japanese numbers are inacurate.  Therefore, for the number of deaths for ""2020-06-15"" and ""2020-06-21"", we used official numbers from the Japanese Ministry of Health, Labour, and Welfare (see \url{https://www.mhlw.go.jp/content/10906000/000640012.pdf} and \url{https://www.mhlw.go.jp/content/10906000/000641965.pdf}; accessed August 6, 2021).",20,"https://www.metro.tokyo.lg.jp/ENGLISH/ABOUT/HISTORY/history03.htm",45796.5,"GDP value is from value listed for Japan from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",2,45796.5,1
"18","{nawa2020seroprevalence}","201216_Utsunomiya_TokyoMedicalandDentalUniversity_PopAdj","Simplified probability",1,0,0,0,0,0,"","","Nawa et al.","https://onlinelibrary.wiley.com/doi/full/10.1002/jgf2.408",517527,"Population value is from \url{https://www.city.utsunomiya.tochigi.jp/shisei/gaiyo/1007461.html} (accessed July 12th).","2020-06-14","2020-07-05","Low","Japan","East Asia","Japan; Tochigi Prefecture; Utsunomiya City","Utsunomiya City, Japan","Japan","Northern-Kanto, Koshin",0.17,2.28,0,0,1,"For \citet{nawa2020seroprevalence}, we concluded that 0 deaths had occurred based on official records for the Tochigi prefecture (see \url{https://www.nippon.com/en/japan-data/h00657/}; accessed July 12th, 2021).",26,"Data for proportion aged over 65 is from \url{https://www8.cao.go.jp/kourei/english/annualreport/2017/pdf/c1-1.pdf} (accessed July 12th, 2021). ",42931,"GDP value is from value listed for Japan from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,42931,1
"20","{vos2020nationwide}","201128_Netherlands_CentreforInfectiousDiseaseControl_genpop_overall","Stratified probability",1,1,1,0,0,0,"","","Vos et al.","https://dx.doi.org/10.1136/jech-2020-215678",17344874,"Population value is from the World Bank (\url{https://data.worldbank.org/indicator/SP.POP.TOTL?locations=NL}; accessed July 30, 2021).","2020-03-31","2020-05-11","Low","Netherlands","Europe","Netherlands","Netherlands","Netherlands","Netherlands",2.1,3.7,2955,5849,1,"For \citet{vos2020nationwide}, mortality data for the Netherlands was obtained from the Our World in Data COVID-19 dataset available at: \url{ourworldindata.org/coronavirus/country/netherlands}  (accessed on April 28, 2021).",20,"Data for the proportion aged over 65 is also from World Bank's World Development Indicators (WDI) data (see \url{https://data.worldbank.org/indicator/SP.POP.65UP.TO.ZS}  (last updated 2021-03-19)).",59685,"GDP value is from value listed for Netherlands from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,59685,1
"21","{alvarez2021seroprevalence_lancet}","210120_Iquitos_DIRESA_1monthFollowUp_overall_adj","Stratified probability",1,0,0,0,0,0,"","","Álvarez-Antonio et al.","https://www.medrxiv.org/content/10.1101/2021.01.17.21249913v1",467000,"Population data is from the published article {alvarez2021seroprevalence_lancet}.","2020-07-13","2020-07-18","Low","Peru","South America","Peru","Iquitos, Peru","Peru","Loreto",67,73,1581,1942,0,"We used official (post-audit) numbers from the Peru Ministry of Health (MINSA) (see \url{https://www.datosabiertos.gob.pe/dataset/fallecidos-por-covid-19-ministerio-de-salud-minsa/resource/4b7636f3-5f0c-4404-8526}) for mortality numbers.  We included deaths recorded for 4 districts (""SAN JUAN BAUTISTA"", ""BELEN"", ""PUNCHANA"", and ""IQUITOS"") in the ""LORETO"" department.  Note however, that recording the accurate number of deaths is perhaps  particularly challenging in Iquitos see \citet{fraser2020covid}.  In order to acknoledge that there is substantial uncertainty in the post-audit mortality numbers, we widened the interval by lowering the lower bound by 10% and incresing the upper bound by 10%.",4,"Data for the proportion aged over 65 is from a 2004 World Health Organization report (see \url{https://www.who.int/ageing/projects/intra/phase_two/alc_intra2_cp_peru.pdf}; accessed August 2, 2021).",5896,"GDP value is from value listed for Peru from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-06-21)).  However, note that \citet{alvarez2021seroprevalence_lancet} are careful to describe Iquitos as ``among Peru's poorest regions, with more than 60\% of Iquitos's population classified either as poor or extremely poor.''",1,5896,1
"22","{reyes2021sars}","210331_Lima_PeruvianMinistryOfHealth_Overall_PopAdj_TestAdj","Stratified probability",1,0,0,0,0,0,"","","Reyes-Vega et al.","https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00081-X/fulltext#%20",10804609,"https://www.minsa.gob.pe/reunis/data/poblacion_estimada.asp  (Note that Reyes-Vega et al. state that: ""The study area has an estimated 10.7 million inhabitants"")","2020-06-28","2020-07-09","Low","Peru","South America","Peru; Lima and Callao; Lima metropolitan area","Lima, Peru","Peru","Lima",22.5,28.2,21109,28846,0,"https://www.datosabiertos.gob.pe/dataset/fallecidos-por-covid-19-ministerio-de-salud-minsa/resource/4b7636f3-5f0c-4404-8526 provides data.   Peru audited death records and the data was updated on May 31, 2021 (see https://www.datosabiertos.gob.pe/dataset/fallecidos-por-covid-19-ministerio-de-salud-minsa) {dyer2021covid}.  Note we sum deaths recorded for both Lima and Callao provinces. In order to acknoledge that there is substantial uncertainty in the post-audit mortality numbers, we widened the interval by lowering the lower bound by 10% and incresing the upper bound by 10%.    (code: dim(look1[look1[,""PROVINCIA""]%in%c(""LIMA"", ""CALLAO"") & look1[,""date_of_death""]<=(as.Date(""2020-06-28"", ""%Y-%m-%d"")+14),]) )",9,"https://www.citypopulation.de/en/peru/admin/15__lima/",19313,"GDP value is from value listed for Peru from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-06-21)).",1,19313,1
"23","{barchuk2020seroprevalence}","201104_SaintPetersburg_EuropeanUniversity_ELISA_Overall_PopTestAdj","Simplified probability",1,1,1,0,0,0,"","","Barchuk et al.","https://www.medrxiv.org/content/10.1101/2020.11.02.20221309v1",5351935,"The population value is from \url{https://en.wikipedia.org/wiki/Saint_Petersburg} (accessed June 21, 2021)).","2020-05-27","2020-06-26","Low","Russian Federation","Europe","Russian Federation","Saint Petersburg, Russia","Russian Federation","Federal City of Saint Petersburg",5.6,12.9,2978,4776,0,"For \citet{barchuk2020seroprevalence}, we used excess death numbers as reported by \citet{kobak2021excess}. Russian official statistics appear to underestimate the true number of fatalities by a substantial factor \cite{karlinsky2021world}.",18,"Data for the proportion aged over 65 is from \citet{barchuk2020seroprevalence} (see Table A3 ``KOUZh-2018'').  ",30144,"GDP value is from value listed for Russian Federation from World Bank's World Development Indicators (WDI) data (see: \url{https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD} (last updated 2021-04-26)).",1,30144,1
